latitude,longitude,frp,acq_time,confidence,satellite
-33.12249,-71.59632,27.0,1819,n,N
-33.12615,-71.59565,27.0,1819,n,N
-33.12495,-71.59289,3.55,556,n,N
-33.12187,-71.59121,27.0,1819,n,N
-33.12554,-71.59057,27.0,1819,h,N
-33.12921,-71.58992,1.95,1819,n,N
-33.12127,-71.58617,21.66,1819,n,N
-33.12494,-71.58552,21.66,1819,n,N
-33.1707,-71.53123,49.82,1819,l,N
-33.17436,-71.53059,32.84,1819,l,N
-33.17252,-71.53029,2.3,556,n,N
-33.16908,-71.52959,2.3,556,n,N
-33.05191,-71.52919,323.6,1819,h,N
-33.06286,-71.52715,61.27,1819,l,N
-33.04041,-71.52668,26.88,1819,n,N
-33.17656,-71.52658,16.05,556,n,N
-33.06651,-71.52644,7.66,1819,n,N
-33.17009,-71.52626,202.78,1819,h,N
-33.17313,-71.52588,3.61,556,n,N
-33.17375,-71.52559,57.5,1819,l,N
-33.1697,-71.52518,3.61,556,n,N
-33.04768,-71.52509,241.75,1819,l,N
-33.06579,-71.5246,2.26,556,n,N
-33.05133,-71.52439,130.11,1819,h,N
-33.05497,-71.5237,130.11,1819,l,N
-33.03251,-71.52305,6.3,1819,n,N
-33.05862,-71.52301,17.82,1819,l,N
-33.18061,-71.52289,16.05,556,n,N
-33.07668,-71.52238,2.28,556,n,N
-33.06226,-71.52232,17.82,1819,l,N
-33.17718,-71.52219,16.05,556,n,N
-33.03981,-71.52179,26.88,1819,n,N
-33.15255,-71.52173,6.6,556,n,N
-33.07326,-71.52164,3.93,556,n,N
-33.06591,-71.5216,79.25,1819,n,N
-33.17376,-71.52147,3.61,556,n,N
-33.14911,-71.52106,6.6,556,n,N
-33.04345,-71.52101,241.75,1819,h,N
-33.06984,-71.5209,3.93,556,n,N
-33.17033,-71.52074,3.61,556,n,N
-33.14568,-71.52039,14.35,556,n,N
-33.04709,-71.52029,241.75,1819,h,N
-33.0732,-71.52019,75.35,1819,h,N
-33.06641,-71.52016,2.26,556,n,N
-33.14692,-71.52001,39.67,1819,n,N
-33.14225,-71.51971,14.35,556,n,N
-33.05074,-71.51958,130.11,1819,h,N
-33.07684,-71.51949,75.35,1819,l,N
-33.06299,-71.51943,2.26,556,n,N
-33.05438,-71.51885,130.11,1819,n,N
-33.05957,-71.5187,3.22,556,n,N
-33.16003,-71.51868,2.2,556,n,N
-33.1579,-71.5182,15.58,1819,n,N
-33.05802,-71.51813,17.82,1819,n,N
-33.1566,-71.51801,2.2,556,n,N
-33.05614,-71.51797,3.22,556,n,N
-33.07731,-71.51794,1.99,556,n,N
-33.03187,-71.5178,28.46,1819,n,N
-33.13195,-71.51764,4.78,556,n,N
-33.16156,-71.51757,15.58,1819,n,N
-33.15316,-71.51735,6.6,556,n,N
-33.03554,-71.5173,32.86,1819,l,N
