cell_id,elevacion,pendiente,orientacion,dem_disponible
VP-001,317.36038,14.855443,183.46036,True
VP-002,284.5776,11.213945,230.3497,True
VP-003,246.31647,14.27487,47.05116,True
VP-004,139.99121,11.260089,9.793024,True
VP-005,111.69659,8.724297,22.496378,True
VP-006,112.92016,8.799794,286.04077,True
VP-007,,,,True
VP-008,,,,True
VP-009,,,,True
VP-010,,,,True
VP-011,328.92145,14.030438,344.0212,True
VP-012,349.62564,14.038969,349.5729,True
VP-013,264.33456,16.402021,31.76977,True
VP-014,179.97856,12.04891,4.2203913,True
VP-015,186.53894,7.6805606,316.8457,True
VP-016,252.02962,12.580183,292.87378,True
VP-017,,,,True
VP-018,,,,True
VP-019,,,,True
VP-020,,,,True
VP-021,235.70901,13.061758,337.79544,True
VP-022,163.12657,14.490255,21.533964,True
VP-023,124.30646,13.467788,352.84515,True
VP-024,138.98509,5.9251733,9.543947,True
VP-025,143.28625,3.6261837,325.76807,True
VP-026,167.66626,5.8690896,314.80258,True
VP-027,,,,True
VP-028,,,,True
VP-029,,,,True
VP-030,,,,True
VP-031,20.426847,4.13426,333.76474,True
VP-032,154.99304,9.991897,259.32092,True
VP-033,264.3901,13.041445,241.28046,True
VP-034,249.2094,14.142784,171.3508,True
VP-035,205.26424,11.0033655,200.01807,True
VP-036,155.83965,10.692585,1.6617534,True
VP-037,,,,True
VP-038,,,,True
VP-039,,,,True
VP-040,,,,True
VP-041,9.679758,1.9070232,262.0381,True
VP-042,132.27824,9.872919,302.0143,True
VP-043,208.7458,9.379686,332.74002,True
VP-044,246.30115,13.910328,353.94824,True
VP-045,148.24551,11.8063135,32.733723,True
VP-046,89.843285,6.556913,24.40644,True
VP-047,,,,True
VP-048,,,,True
VP-049,,,,True
VP-050,,,,True
