latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,firms_source,request_start_date
-33.63329,-70.63493,331.17,0.51,0.41,2021-08-30,1850,N,VIIRS,n,2,291.25,3.28,D,0,VIIRS_SNPP_SP,2021-08-30
-32.80182,-70.9546,331.32,0.51,0.41,2021-08-30,1850,N,VIIRS,n,2,294.89,9.56,D,2,VIIRS_SNPP_SP,2021-08-30
-33.29687,-70.72919,332.22,0.38,0.36,2021-08-31,1831,N,VIIRS,n,2,299.91,1.88,D,2,VIIRS_SNPP_SP,2021-08-30
-32.87783,-71.17974,328.89,0.38,0.36,2021-08-31,1831,N,VIIRS,n,2,296.22,1.43,D,0,VIIRS_SNPP_SP,2021-08-30
-32.8037,-70.95218,335.03,0.38,0.36,2021-08-31,1832,N,VIIRS,n,2,302.52,7.41,D,2,VIIRS_SNPP_SP,2021-08-30
-33.29641,-70.72787,322.86,0.39,0.36,2021-09-01,550,N,VIIRS,n,2,280.97,1.91,N,2,VIIRS_SNPP_SP,2021-08-30
-32.80341,-70.95374,329.13,0.39,0.36,2021-09-01,550,N,VIIRS,n,2,283.64,7.61,N,2,VIIRS_SNPP_SP,2021-08-30
-33.29574,-70.72613,313.48,0.45,0.39,2021-09-02,531,N,VIIRS,n,2,282.05,1.3,N,2,VIIRS_SNPP_SP,2021-08-30
-33.29485,-70.73091,304.0,0.45,0.39,2021-09-02,531,N,VIIRS,n,2,282.28,1.73,N,2,VIIRS_SNPP_SP,2021-08-30
-32.80171,-70.95326,305.61,0.46,0.39,2021-09-02,531,N,VIIRS,n,2,282.16,1.2,N,2,VIIRS_SNPP_SP,2021-08-30
-32.78226,-70.8964,296.84,0.46,0.39,2021-09-02,531,N,VIIRS,n,2,280.57,0.73,N,0,VIIRS_SNPP_SP,2021-08-30
-32.4194,-70.98562,345.33,0.6,0.53,2021-09-02,1754,N,VIIRS,n,2,298.55,8.58,D,0,VIIRS_SNPP_SP,2021-08-30
-32.80162,-70.94961,331.19,0.37,0.58,2021-09-03,1915,N,VIIRS,n,2,289.99,3.47,D,2,VIIRS_SNPP_SP,2021-08-30
-32.8034,-70.9505,341.15,0.41,0.45,2021-09-04,1857,N,VIIRS,n,2,301.99,13.92,D,2,VIIRS_SNPP_SP,2021-09-04
-32.76166,-71.47836,328.41,0.43,0.46,2021-09-05,615,N,VIIRS,n,2,278.17,1.93,N,2,VIIRS_SNPP_SP,2021-09-04
-32.75737,-71.47772,310.39,0.43,0.46,2021-09-05,615,N,VIIRS,n,2,276.0,1.93,N,2,VIIRS_SNPP_SP,2021-09-04
-32.78017,-70.82617,331.24,0.4,0.37,2021-09-05,1838,N,VIIRS,n,2,299.98,44.02,D,0,VIIRS_SNPP_SP,2021-09-04
-32.76091,-71.47602,334.69,0.39,0.36,2021-09-05,1838,N,VIIRS,n,2,299.35,1.95,D,2,VIIRS_SNPP_SP,2021-09-04
-32.80254,-70.9538,323.52,0.42,0.38,2021-09-06,556,N,VIIRS,n,2,282.12,2.28,N,2,VIIRS_SNPP_SP,2021-09-04
-32.76196,-71.47522,327.64,0.41,0.37,2021-09-06,556,N,VIIRS,n,2,278.76,3.45,N,2,VIIRS_SNPP_SP,2021-09-04
-32.75853,-71.47454,328.41,0.41,0.37,2021-09-06,556,N,VIIRS,n,2,280.31,3.45,N,2,VIIRS_SNPP_SP,2021-09-04
-32.80468,-70.95309,341.76,0.44,0.38,2021-09-06,1819,N,VIIRS,n,2,300.52,11.05,D,2,VIIRS_SNPP_SP,2021-09-04
-32.77472,-70.58251,333.83,0.42,0.38,2021-09-06,1819,N,VIIRS,n,2,302.29,2.56,D,0,VIIRS_SNPP_SP,2021-09-04
-32.75981,-71.47572,312.56,0.42,0.38,2021-09-07,537,N,VIIRS,n,2,277.73,2.11,N,2,VIIRS_SNPP_SP,2021-09-04
-32.80411,-70.9539,308.1,0.43,0.46,2021-09-08,519,N,VIIRS,n,2,277.2,1.57,N,2,VIIRS_SNPP_SP,2021-09-04
-32.79992,-70.95264,298.3,0.43,0.46,2021-09-08,519,N,VIIRS,n,2,275.51,0.77,N,2,VIIRS_SNPP_SP,2021-09-04
-32.8616,-70.58394,330.21,0.44,0.62,2021-09-08,1741,N,VIIRS,n,2,294.91,5.39,D,0,VIIRS_SNPP_SP,2021-09-04
-32.86127,-70.57818,367.0,0.44,0.62,2021-09-08,1741,N,VIIRS,h,2,294.69,12.06,D,0,VIIRS_SNPP_SP,2021-09-04
-32.80374,-70.95333,337.0,0.46,0.64,2021-09-08,1741,N,VIIRS,n,2,300.24,4.76,D,2,VIIRS_SNPP_SP,2021-09-04
-32.80196,-70.95113,334.54,0.46,0.64,2021-09-08,1741,N,VIIRS,n,2,298.62,3.26,D,2,VIIRS_SNPP_SP,2021-09-04
-32.86866,-70.57817,352.64,0.47,0.64,2021-09-08,1922,N,VIIRS,n,2,299.29,9.52,D,0,VIIRS_SNPP_SP,2021-09-04
-32.86656,-70.57973,345.17,0.47,0.64,2021-09-08,1922,N,VIIRS,n,2,298.13,4.21,D,0,VIIRS_SNPP_SP,2021-09-04
-32.86538,-70.57531,334.18,0.47,0.64,2021-09-08,1922,N,VIIRS,n,2,296.19,9.66,D,0,VIIRS_SNPP_SP,2021-09-04
-32.86281,-70.58014,339.9,0.47,0.64,2021-09-08,1922,N,VIIRS,n,2,298.5,5.62,D,0,VIIRS_SNPP_SP,2021-09-04
-32.86074,-70.58182,329.36,0.47,0.64,2021-09-08,1922,N,VIIRS,n,2,296.79,4.21,D,0,VIIRS_SNPP_SP,2021-09-04
-32.79987,-70.95408,307.17,0.39,0.59,2021-09-09,500,N,VIIRS,n,2,279.6,1.76,N,2,VIIRS_SNPP_SP,2021-09-09
-32.76164,-71.47932,327.15,0.42,0.61,2021-09-09,500,N,VIIRS,n,2,279.44,3.04,N,2,VIIRS_SNPP_SP,2021-09-09
-32.7561,-71.47731,337.25,0.42,0.61,2021-09-09,500,N,VIIRS,n,2,278.91,4.17,N,2,VIIRS_SNPP_SP,2021-09-09
-32.76125,-71.47625,342.6,0.46,0.47,2021-09-09,1903,N,VIIRS,n,2,298.11,8.94,D,2,VIIRS_SNPP_SP,2021-09-09
-32.80367,-70.95096,308.77,0.57,0.52,2021-09-10,621,N,VIIRS,n,2,279.89,2.57,N,2,VIIRS_SNPP_SP,2021-09-09
-32.80153,-70.95174,338.33,0.44,0.39,2021-09-10,1844,N,VIIRS,n,2,298.19,4.29,D,2,VIIRS_SNPP_SP,2021-09-09
-32.80256,-70.95199,343.11,0.54,0.42,2021-09-13,525,N,VIIRS,n,2,280.93,8.73,N,2,VIIRS_SNPP_SP,2021-09-09
-32.80113,-70.954,346.92,0.37,0.58,2021-09-13,1748,N,VIIRS,n,2,292.84,2.97,D,2,VIIRS_SNPP_SP,2021-09-09
-32.80233,-70.95197,324.18,0.32,0.55,2021-09-14,506,N,VIIRS,n,2,279.21,2.27,N,2,VIIRS_SNPP_SP,2021-09-14
-32.79977,-70.9521,304.86,0.32,0.55,2021-09-14,506,N,VIIRS,n,2,277.4,0.77,N,2,VIIRS_SNPP_SP,2021-09-14
-32.75901,-71.47606,315.77,0.61,0.71,2021-09-14,647,N,VIIRS,n,2,276.22,2.41,N,2,VIIRS_SNPP_SP,2021-09-14
-32.80478,-70.94904,340.16,0.6,0.53,2021-09-14,1909,N,VIIRS,n,2,301.22,5.75,D,2,VIIRS_SNPP_SP,2021-09-14
-32.80214,-70.95643,313.56,0.58,0.69,2021-09-15,447,N,VIIRS,n,2,281.5,2.91,N,2,VIIRS_SNPP_SP,2021-09-14
-32.80148,-70.95634,310.83,0.58,0.69,2021-09-15,447,N,VIIRS,n,2,281.64,2.55,N,2,VIIRS_SNPP_SP,2021-09-14
-32.80383,-70.95118,311.92,0.35,0.57,2021-09-15,628,N,VIIRS,n,2,279.03,1.48,N,2,VIIRS_SNPP_SP,2021-09-14
-32.80355,-70.95488,302.01,0.35,0.57,2021-09-15,628,N,VIIRS,n,2,280.61,1.89,N,2,VIIRS_SNPP_SP,2021-09-14
-32.80262,-70.95003,334.6,0.51,0.41,2021-09-15,1850,N,VIIRS,n,2,302.48,4.79,D,2,VIIRS_SNPP_SP,2021-09-14
-32.75901,-71.47372,342.63,0.49,0.4,2021-09-15,1850,N,VIIRS,n,2,298.52,14.29,D,2,VIIRS_SNPP_SP,2021-09-14
-32.80208,-70.95559,295.78,0.57,0.43,2021-09-16,609,N,VIIRS,n,2,281.03,1.32,N,2,VIIRS_SNPP_SP,2021-09-14
-32.80447,-70.95225,335.48,0.38,0.36,2021-09-16,1832,N,VIIRS,n,2,306.81,6.86,D,2,VIIRS_SNPP_SP,2021-09-14
-32.80114,-70.95296,335.32,0.38,0.36,2021-09-16,1832,N,VIIRS,n,2,303.24,5.08,D,2,VIIRS_SNPP_SP,2021-09-14
-32.75871,-71.47674,334.52,0.38,0.36,2021-09-16,1832,N,VIIRS,n,2,302.39,5.74,D,2,VIIRS_SNPP_SP,2021-09-14
-32.80256,-70.95168,331.48,0.39,0.36,2021-09-17,550,N,VIIRS,n,2,284.03,2.64,N,2,VIIRS_SNPP_SP,2021-09-14
-32.80318,-70.95074,300.86,0.46,0.39,2021-09-18,531,N,VIIRS,n,2,281.28,0.9,N,2,VIIRS_SNPP_SP,2021-09-14
-32.80223,-70.9557,314.45,0.46,0.39,2021-09-18,531,N,VIIRS,n,2,281.58,1.68,N,2,VIIRS_SNPP_SP,2021-09-14
-33.37315,-70.66691,295.38,0.49,0.49,2021-09-19,512,N,VIIRS,n,2,278.04,0.71,N,0,VIIRS_SNPP_SP,2021-09-19
-32.80396,-70.95522,321.28,0.52,0.5,2021-09-19,512,N,VIIRS,n,2,280.85,3.72,N,2,VIIRS_SNPP_SP,2021-09-19
-32.80221,-70.95405,338.75,0.52,0.5,2021-09-19,512,N,VIIRS,n,2,281.97,5.99,N,2,VIIRS_SNPP_SP,2021-09-19
-32.7994,-70.95376,326.57,0.52,0.5,2021-09-19,512,N,VIIRS,n,2,281.37,3.72,N,2,VIIRS_SNPP_SP,2021-09-19
-32.8036,-70.95275,337.02,0.37,0.58,2021-09-19,1915,N,VIIRS,n,2,294.69,2.52,D,2,VIIRS_SNPP_SP,2021-09-19
-32.76014,-71.47528,311.38,0.4,0.6,2021-09-20,634,N,VIIRS,n,2,277.31,2.19,N,2,VIIRS_SNPP_SP,2021-09-19
-32.75799,-71.47371,297.84,0.4,0.6,2021-09-20,634,N,VIIRS,n,2,278.0,1.09,N,2,VIIRS_SNPP_SP,2021-09-19
-32.75769,-71.47819,298.88,0.4,0.6,2021-09-20,634,N,VIIRS,n,2,280.1,1.68,N,2,VIIRS_SNPP_SP,2021-09-19
-32.80412,-70.95345,341.58,0.41,0.45,2021-09-20,1857,N,VIIRS,n,2,306.29,5.86,D,2,VIIRS_SNPP_SP,2021-09-19
-32.80291,-70.95225,343.71,0.41,0.45,2021-09-20,1857,N,VIIRS,n,2,305.86,4.27,D,2,VIIRS_SNPP_SP,2021-09-19
-32.74908,-70.79654,331.61,0.42,0.45,2021-09-20,1857,N,VIIRS,n,2,305.76,2.65,D,0,VIIRS_SNPP_SP,2021-09-19
-32.80311,-70.95142,327.41,0.46,0.47,2021-09-21,615,N,VIIRS,n,2,282.12,3.74,N,2,VIIRS_SNPP_SP,2021-09-19
-32.76026,-71.47485,308.96,0.43,0.46,2021-09-21,615,N,VIIRS,n,2,278.64,1.48,N,2,VIIRS_SNPP_SP,2021-09-19
-32.80325,-70.95096,332.59,0.4,0.37,2021-09-21,1838,N,VIIRS,n,2,296.1,3.3,D,2,VIIRS_SNPP_SP,2021-09-19
-32.78791,-71.4856,303.83,0.41,0.37,2021-09-22,556,N,VIIRS,n,2,279.79,1.17,N,0,VIIRS_SNPP_SP,2021-09-19
-33.26115,-71.38257,330.12,0.46,0.39,2021-09-22,1819,N,VIIRS,n,2,297.36,2.92,D,0,VIIRS_SNPP_SP,2021-09-19
-32.86698,-70.59829,334.73,0.42,0.38,2021-09-22,1819,N,VIIRS,n,2,307.36,2.99,D,0,VIIRS_SNPP_SP,2021-09-19
-32.86662,-70.59532,333.7,0.42,0.38,2021-09-22,1819,N,VIIRS,n,2,306.5,2.53,D,0,VIIRS_SNPP_SP,2021-09-19
-32.80254,-70.95447,316.72,0.41,0.37,2021-09-23,537,N,VIIRS,n,2,282.22,1.84,N,2,VIIRS_SNPP_SP,2021-09-19
-32.76077,-71.47791,308.03,0.42,0.38,2021-09-23,537,N,VIIRS,n,2,273.14,1.77,N,2,VIIRS_SNPP_SP,2021-09-19
-32.75812,-71.47252,316.85,0.42,0.38,2021-09-23,537,N,VIIRS,n,2,275.71,8.29,N,2,VIIRS_SNPP_SP,2021-09-19
-32.7573,-71.47704,328.19,0.42,0.38,2021-09-23,537,N,VIIRS,n,2,278.51,8.29,N,2,VIIRS_SNPP_SP,2021-09-19
-32.84619,-70.93023,346.05,0.49,0.49,2021-09-23,1800,N,VIIRS,n,2,307.88,5.21,D,0,VIIRS_SNPP_SP,2021-09-19
-32.78083,-71.18601,341.82,0.77,0.78,2021-09-23,1940,N,VIIRS,n,2,301.92,8.44,D,0,VIIRS_SNPP_SP,2021-09-19
-32.77847,-71.18199,331.52,0.78,0.78,2021-09-23,1940,N,VIIRS,l,2,302.44,10.44,D,0,VIIRS_SNPP_SP,2021-09-19
-33.29787,-70.72991,305.12,0.41,0.45,2021-09-24,519,N,VIIRS,n,2,281.81,1.47,N,2,VIIRS_SNPP_SP,2021-09-24
-33.29377,-70.72865,319.88,0.41,0.45,2021-09-24,519,N,VIIRS,n,2,284.67,1.47,N,2,VIIRS_SNPP_SP,2021-09-24
-32.80308,-70.95347,344.1,0.43,0.46,2021-09-24,519,N,VIIRS,n,2,286.77,6.89,N,2,VIIRS_SNPP_SP,2021-09-24
-32.80209,-70.95815,296.91,0.43,0.46,2021-09-24,519,N,VIIRS,n,2,284.34,1.33,N,2,VIIRS_SNPP_SP,2021-09-24
-32.75868,-71.47779,304.9,0.46,0.47,2021-09-24,519,N,VIIRS,n,2,281.81,1.15,N,2,VIIRS_SNPP_SP,2021-09-24
-32.89211,-70.95907,367.0,0.46,0.64,2021-09-24,1741,N,VIIRS,h,2,317.26,8.69,D,0,VIIRS_SNPP_SP,2021-09-24
-33.29341,-70.72906,318.39,0.37,0.58,2021-09-25,500,N,VIIRS,n,2,284.2,1.46,N,2,VIIRS_SNPP_SP,2021-09-24
-32.80402,-70.94984,316.12,0.57,0.52,2021-09-26,621,N,VIIRS,n,2,280.54,2.53,N,2,VIIRS_SNPP_SP,2021-09-24
-32.80353,-70.95583,312.08,0.57,0.52,2021-09-26,621,N,VIIRS,n,2,281.77,3.78,N,2,VIIRS_SNPP_SP,2021-09-24
-32.80191,-70.94975,318.12,0.57,0.52,2021-09-26,621,N,VIIRS,n,2,280.28,2.98,N,2,VIIRS_SNPP_SP,2021-09-24
-32.80138,-70.9558,305.63,0.57,0.52,2021-09-26,621,N,VIIRS,n,2,281.12,2.98,N,2,VIIRS_SNPP_SP,2021-09-24
-32.75993,-71.47374,305.09,0.53,0.5,2021-09-26,621,N,VIIRS,n,2,277.83,1.01,N,2,VIIRS_SNPP_SP,2021-09-24
-32.75943,-71.47955,301.54,0.53,0.5,2021-09-26,621,N,VIIRS,n,2,280.6,2.03,N,2,VIIRS_SNPP_SP,2021-09-24
-32.75933,-71.47341,295.62,0.53,0.5,2021-09-26,621,N,VIIRS,n,2,277.35,1.23,N,2,VIIRS_SNPP_SP,2021-09-24
-32.75879,-71.47921,307.94,0.53,0.5,2021-09-26,621,N,VIIRS,n,2,279.95,1.23,N,2,VIIRS_SNPP_SP,2021-09-24
-33.48772,-70.51969,334.37,0.45,0.39,2021-09-26,1844,N,VIIRS,l,2,305.5,2.97,D,0,VIIRS_SNPP_SP,2021-09-24
