target_event_id,first_arrival,fecha_calendario,n_positive_rows,n_forecast_times,n_cells,cells
600.0,2022-01-18 18:06:00+00:00,2022-01-18,1,1,1,VP-033
606.0,2022-01-19 17:47:00+00:00,2022-01-19,1,1,1,VP-023
607.0,2022-01-19 17:47:00+00:00,2022-01-19,1,1,1,VP-048
1488.0,2022-12-05 17:47:00+00:00,2022-12-05,1,1,1,VP-022
1493.0,2022-12-06 19:09:00+00:00,2022-12-06,1,1,1,VP-001
1495.0,2022-12-07 06:28:00+00:00,2022-12-07,1,1,1,VP-007
1511.0,2022-12-08 18:32:00+00:00,2022-12-08,1,1,1,VP-002
1515.0,2022-12-09 05:50:00+00:00,2022-12-09,1,1,1,VP-007
1522.0,2022-12-11 17:35:00+00:00,2022-12-11,2,2,2,"VP-022,VP-023"
1557.0,2022-12-15 18:00:00+00:00,2022-12-15,3,2,3,"VP-027,VP-028,VP-038"
1664.0,2022-12-23 04:48:00+00:00,2022-12-23,2,1,2,"VP-021,VP-031"
1678.0,2022-12-23 18:51:00+00:00,2022-12-23,2,1,2,"VP-019,VP-029"
3070.0,2024-02-02 18:38:00+00:00,2024-02-02,1,1,1,VP-048
3069.0,2024-02-02 18:38:00+00:00,2024-02-02,2,1,2,"VP-007,VP-017"
3072.0,2024-02-03 05:56:00+00:00,2024-02-03,8,1,8,"VP-002,VP-003,VP-012,VP-013,VP-022,VP-023,VP-032,VP-033"
3080.0,2024-02-03 05:56:00+00:00,2024-02-03,1,1,1,VP-027
3082.0,2024-02-03 05:56:00+00:00,2024-02-03,1,1,1,VP-037
3083.0,2024-02-03 05:56:00+00:00,2024-02-03,1,1,1,VP-043
3091.0,2024-02-03 18:19:00+00:00,2024-02-03,4,1,4,"VP-002,VP-012,VP-022,VP-032"
3092.0,2024-02-03 18:19:00+00:00,2024-02-03,4,1,4,"VP-003,VP-013,VP-014,VP-024"
3093.0,2024-02-03 18:19:00+00:00,2024-02-03,1,1,1,VP-017
3094.0,2024-02-03 18:19:00+00:00,2024-02-03,2,1,2,"VP-033,VP-043"
3095.0,2024-02-03 18:19:00+00:00,2024-02-03,1,1,1,VP-037
3100.0,2024-02-04 05:37:00+00:00,2024-02-04,1,1,1,VP-004
3112.0,2024-02-05 05:19:00+00:00,2024-02-05,1,1,1,VP-035
3184.0,2024-02-25 18:06:00+00:00,2024-02-25,1,1,1,VP-047
