fold,ignition_ts,proba_predicha,recall_binario_0.5,percentil_vs_negativos_test,n_duplicados_evento,evento_independiente_sin_fuga
1,2025-02-01 19:34:00+00:00,0.88,1,100.0,3,False
2,2025-02-01 19:34:00+00:00,0.88,1,100.0,3,False
3,2025-02-01 19:34:00+00:00,0.88,1,100.0,3,False
4,2025-02-10 06:03:00+00:00,0.0,0,94.3,1,True
5,2025-02-11 05:44:00+00:00,0.045,0,99.1,1,True
6,2025-02-14 18:50:00+00:00,0.0,0,92.0,1,True
7,2025-02-25 18:44:00+00:00,0.57,1,100.0,2,False
8,2025-02-25 18:44:00+00:00,0.57,1,100.0,2,False
9,2025-02-26 06:03:00+00:00,0.94,1,100.0,4,False
10,2025-02-26 06:03:00+00:00,0.94,1,100.0,4,False
11,2025-02-26 06:03:00+00:00,0.94,1,100.0,4,False
12,2025-02-26 06:03:00+00:00,0.94,1,100.0,4,False
